"Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Eccentricity"
"PL",0,0,NA,0,0.00138504155125364,0
"PMA",0,0,NA,0,0.00138504155125364,0
"PML",6,2.36557568530185,0.378600823045267,0.282852450441768,0.00802746587259961,5
"PML-AKFH",0,0,NA,0,0.00138504155125364,0
"PML-C",2,0,0.323943661971831,0.122369514484584,0.00369725538419004,6
"PML-N",22,432.976687345666,0.391489361702128,0.79728645656193,0.0304675001451817,5
"PML-Q",0,0,NA,0,0.00138504155125364,0
"PMLKQK",0,0,NA,0,0.00138504155125364,0
"PMLO",1,0,0.299674267100977,0.0675173758836423,0.00252010196949282,6
"PMLZ",1,0,0.222222222222222,0.00212365289294683,0.00398647587469439,7
"PMML",28,514.326558010747,0.436018957345972,0.95552064680658,0.0360850959571241,5
"PMNL",0,0,NA,0,0.00138504155125364,0
"PMP",2,0,0.307692307692308,0.0673733016194096,0.00362719726148761,5
"PNAP",2,0,0.308724832214765,0.0270190063380423,0.00416525362909296,5
"PNP",0,0,NA,0,0.00138504155125364,0
"PPAP",0,0,NA,0,0.00138504155125364,0
"PPP",28,437.255826936311,0.407079646017699,1,0.0353154887047606,5
"PRHP",15,59.7969672054812,0.448780487804878,0.682386800082465,0.0184466242446714,4
"PSDP",0,0,NA,0,0.00138504155125364,0
"PSP",0,0,NA,0,0.00138504155125364,0
"PTE",6,0,0.431924882629108,0.36953358905581,0.00805866711775154,4
"PTI",24,543.583795733465,0.408888888888889,0.833631681880155,0.0332089633936246,5
"PTSB",0,0,NA,0,0.00138504155125364,0
"PTSP",0,0,NA,0,0.00138504155125364,0
"Pukhtoonkhwa Milli Awami Party",5,35.6968936292466,0.369477911646586,0.119413050550034,0.00841014559414686,4
"Punjab National Party",2,0,0.317241379310345,0.116760336849858,0.00369874182824984,5
"PWP",0,0,NA,0,0.00138504155125364,0
"Qaumi Tahaffaz party",0,0,NA,0,0.00138504155125364,0
"Qaumi Watan Party",2,7.23683897801545,0.297734627831715,0.06866635373345,0.00391734405408463,5
"Qaumi Watan Party (Sherpao)",6,18.5324392111157,0.345864661654135,0.144702660528264,0.00874249063750965,5
"Qomi Awami Tehreek",0,0,NA,0,0.00138504155125364,0
"QWP",3,3.68333333333333,0.335766423357664,0.136106500562837,0.00487178918076343,5
"Roshan Pakistan Muhaibban Wattan Party",0,0,NA,0,0.00138504155125364,0
"Sairkistan Qaumi Ittehad",0,0,NA,0,0.00138504155125364,0
"SDP",3,91,0.348484848484849,0.133722250492748,0.00629755556075927,5
"Seraiki Sooba Movement Pakistan",0,0,NA,0,0.00138504155125364,0
"SIC",0,0,NA,0,0.00138504155125364,0
"SKQM",4,3.25238095238095,0.317241379310345,0.0498647691765893,0.00663617163478729,5
"Sunni Ittehad Council",3,0,0.347169811320755,0.177943194147674,0.0048337861657869,6
"Sunni Tehreek",5,1.21535409035409,0.377049180327869,0.260856131182705,0.00681187434518688,5
"SUP",3,0,0.370967741935484,0.161403093810051,0.00486809265013566,5
"TAP",0,0,NA,0,0.00138504155125364,0
"TDP",1,0,0.282208588957055,0.0548521386009414,0.00256219496595086,6
"Tehreek-e-Istehkaam Pakistan",0,0,NA,0,0.00138504155125364,0
"Tehreek-e-Ittehad Ummat Pakistan",1,0,0.291139240506329,0.0573526367847868,0.00256119233810836,6
"Tehreek-e-Suba Hazara",0,0,NA,0,0.00138504155125364,0
"Tehreek-e-Tahaffuze Pakistan",13,139.986021352495,0.405286343612335,0.405884860470112,0.0175439688677263,4
"Tehreek-e-Wafaq Pakistan",0,0,NA,0,0.00138504155125364,0
"Tehreek Tabdili Nizam Pakistan",3,0,0.344569288389513,0.143100928606195,0.00504494285926527,6
"Tehrik-e-Masawaat",1,0,0.292993630573248,0.0188035636378402,0.00273552887809107,5
"TIPM",1,0,0.282208588957055,0.0265348254524008,0.0026099052514846,5
"TJP",2,0,0.312925170068027,0.127143929014089,0.00364370444399439,5
"TLI",0,0,NA,0,0.00138504155125364,0
"TLP",33,784.423279368047,0.425925925925926,0.981378133061619,0.0440670515317438,5
"TNP",2,0,0.333333333333333,0.124703529258794,0.00368431931852024,5
"TTK",0,0,NA,0,0.00138504155125364,0
"TTNP",3,0,0.344569288389513,0.143100928606195,0.00504494285926286,6
"TTP",2,0,0.327402135231317,0.123091055546732,0.00365663275108968,6
