"ID","Name","Type","Num_Parties","Is_Switcher"
"Haji_Ghulam_Ahmad_Bilour","Haji Ghulam Ahmad Bilour","Candidate",1,FALSE
"Haji_Naseem-Ur-Rehman","Haji Naseem-Ur-Rehman","Candidate",1,FALSE
"Haji_Nizamuddin_Kakar","Haji Nizamuddin Kakar","Candidate",1,FALSE
"Haji_Rehmanullah","Haji Rehmanullah","Candidate",1,FALSE
"Hameed_Ullah","Hameed Ullah","Candidate",2,TRUE
"Hamid_Khan_Toofan","Hamid Khan Toofan","Candidate",1,FALSE
"Hamidullah_Khan","Hamidullah Khan","Candidate",1,FALSE
"Imtiaz_Hussain","Imtiaz Hussain","Candidate",3,TRUE
"Inayat_Khan","Inayat Khan","Candidate",1,FALSE
"Iqbal_Zaib_Khan","Iqbal Zaib Khan","Candidate",1,FALSE
"Irfan_Ali","Irfan Ali","Candidate",2,TRUE
"Irshad_Khan","Irshad Khan","Candidate",1,FALSE
"Jumma_Khan_Babar","Jumma Khan Babar","Candidate",1,FALSE
"Kabir_Ahmed_Sher","Kabir Ahmed Sher","Candidate",1,FALSE
"Khadija_Bibi","Khadija Bibi","Candidate",1,FALSE
"Khan_Parvez","Khan Parvez","Candidate",1,FALSE
"Khan_Zeb","Khan Zeb","Candidate",1,FALSE
"Khudai_Dad","Khudai Dad","Candidate",1,FALSE
"Khursheed_Begum_Saeed","Khursheed Begum Saeed","Candidate",1,FALSE
"Khurshid","Khurshid","Candidate",1,FALSE
"m_Shafi","m Shafi","Candidate",1,FALSE
"Maj_r__Mahr_Muhammad_Ramzan","Maj(r) Mahr Muhammad Ramzan","Candidate",1,FALSE
"Majid_Khan","Majid Khan","Candidate",2,TRUE
"Malik_Dad_Muhammad_Tareen","Malik Dad Muhammad Tareen","Candidate",1,FALSE
"Malik_Darya_Khan","Malik Darya Khan","Candidate",1,FALSE
"Malik_Muhammad_Usman_Achakzai_","Malik Muhammad Usman Achakzai.","Candidate",1,FALSE
"Mamoon_Khan_Kakar","Mamoon Khan Kakar","Candidate",1,FALSE
"Masood_Abbas","Masood Abbas","Candidate",1,FALSE
"Masood_Abbas_Khattak","Masood Abbas Khattak","Candidate",1,FALSE
"Mian_Babar_Shah_Kaka_Khel","Mian Babar Shah Kaka Khel","Candidate",1,FALSE
"Mohammad_Ayub_Khan_Advocate","Mohammad Ayub Khan Advocate","Candidate",1,FALSE
"Mohammad_Farooq_Khan","Mohammad Farooq Khan","Candidate",1,FALSE
"Muhammad_Ayaz_Khan","Muhammad Ayaz Khan","Candidate",1,FALSE
"Muhammad_Ayub_Khan","Muhammad Ayub Khan","Candidate",2,TRUE
"Muhammad_Azam_Khan","Muhammad Azam Khan","Candidate",2,TRUE
"Muhammad_Daud_Khan_Khattak","Muhammad Daud Khan Khattak","Candidate",1,FALSE
"Muhammad_Farooq_Bangsh","Muhammad Farooq Bangsh","Candidate",1,FALSE
"Muhammad_Farooq_Khan","Muhammad Farooq Khan","Candidate",2,TRUE
"Muhammad_Fayaz_Khan","Muhammad Fayaz Khan","Candidate",1,FALSE
"Muhammad_Hashim_Babar","Muhammad Hashim Babar","Candidate",1,FALSE
"Muhammad_Ishaq","Muhammad Ishaq","Candidate",5,TRUE
"Muhammad_Ismail","Muhammad Ismail","Candidate",4,TRUE
"Muhammad_Kamal","Muhammad Kamal","Candidate",2,TRUE
"Muhammad_Khan_Afridi","Muhammad Khan Afridi","Candidate",2,TRUE
"Muhammad_Riaz_Khan","Muhammad Riaz Khan","Candidate",2,TRUE
"Muhammad_Sajid_Taheem_Advocate","Muhammad Sajid Taheem Advocate","Candidate",1,FALSE
"Muhammad_Saleem_Khan","Muhammad Saleem Khan","Candidate",4,TRUE
"Muhammad_Sharif_Khattak","Muhammad Sharif Khattak","Candidate",1,FALSE
"Muhammad_Taimoor_Khan","Muhammad Taimoor Khan","Candidate",1,FALSE
"Muhammad_Younus_Khan","Muhammad Younus Khan","Candidate",1,FALSE
"Muhammad_Zahid_Khan","Muhammad Zahid Khan","Candidate",1,FALSE
"Muhibullah_Kakar","Muhibullah Kakar","Candidate",1,FALSE
"Munir_Shah","Munir Shah","Candidate",1,FALSE
"Muzafer_Ul_Mulk","Muzafer Ul Mulk","Candidate",1,FALSE
"Muzaffar-Ul-Mulk","Muzaffar-Ul-Mulk","Candidate",1,FALSE
"Naik_Muhammad_Kakar","Naik Muhammad Kakar","Candidate",1,FALSE
"Naimat_Khalil","Naimat Khalil","Candidate",1,FALSE
"Naveed_Anjum_Khan","Naveed Anjum Khan","Candidate",2,TRUE
"Nawabzada_Khawaja_Muhammad_Khan_Hoti_Alias_Toti_Khan","Nawabzada Khawaja Muhammad Khan Hoti Alias Toti Khan","Candidate",1,FALSE
"Nawabzada_Mohamamd_Amin_Khan_Jogezai","Nawabzada Mohamamd Amin Khan Jogezai","Candidate",1,FALSE
"Nawaz_Ali_Burfat","Nawaz Ali Burfat","Candidate",1,FALSE
"Nisar_Ahmed","Nisar Ahmed","Candidate",2,TRUE
"Noor_Ahmed","Noor Ahmed","Candidate",2,TRUE
"Noor_Aslam","Noor Aslam","Candidate",2,TRUE
"Owais_Khan","Owais Khan","Candidate",1,FALSE
"Perviz_Khan_Advocate","Perviz Khan Advocate","Candidate",1,FALSE
"Pir_Dilawar_Shah","Pir Dilawar Shah","Candidate",2,TRUE
"Qalandar_Bux","Qalandar Bux","Candidate",1,FALSE
"Rahmat_Shah_Sael","Rahmat Shah Sael","Candidate",1,FALSE
"Rana_Mushtaq_Ahmad","Rana Mushtaq Ahmad","Candidate",1,FALSE
"Sadeed_Ur_Rehman","Sadeed Ur Rehman","Candidate",1,FALSE
"Sadid_Ur_Rahman","Sadid Ur Rahman","Candidate",1,FALSE
"Saif_Ullah","Saif Ullah","Candidate",4,TRUE
"Sajid_Mahmood","Sajid Mahmood","Candidate",1,FALSE
"Saqib_Ullah_Khan","Saqib Ullah Khan","Candidate",1,FALSE
"Sarfaraz_Khan_Jadoon","Sarfaraz Khan Jadoon","Candidate",1,FALSE
"Shah_Hussain","Shah Hussain","Candidate",1,FALSE
"Shah_Mohammad","Shah Mohammad","Candidate",1,FALSE
"Shahi_Khan","Shahi Khan","Candidate",1,FALSE
"Shahi_Khan_Sherani","Shahi Khan Sherani","Candidate",1,FALSE
"Shahnawaz_Khanzada","Shahnawaz Khanzada","Candidate",1,FALSE
"Shahzia_Batul","Shahzia Batul","Candidate",1,FALSE
"Shazia_Bibi","Shazia Bibi","Candidate",1,FALSE
"Sheheryar_Khan","Sheheryar Khan","Candidate",1,FALSE
"Sher_Nawaz_Khattak","Sher Nawaz Khattak","Candidate",1,FALSE
"Sherullah_Khan","Sherullah Khan","Candidate",1,FALSE
"Sultan_Khan_Mandokhail","Sultan Khan Mandokhail","Candidate",1,FALSE
"Sultan_Khan_Mandokhel","Sultan Khan Mandokhel","Candidate",1,FALSE
"Syed_Abdul_Qayyum","Syed Abdul Qayyum","Candidate",1,FALSE
"Syed_Basharat_Hussain","Syed Basharat Hussain","Candidate",1,FALSE
"Syed_Haider_Ali_Shah","Syed Haider Ali Shah","Candidate",1,FALSE
"Syed_Haroon_Shah","Syed Haroon Shah","Candidate",1,FALSE
"Syed_Karam_Darwesh","Syed Karam Darwesh","Candidate",1,FALSE
"Syed_Masood_Shah","Syed Masood Shah","Candidate",1,FALSE
"Syed_Muhammad_Afzal","Syed Muhammad Afzal","Candidate",1,FALSE
"Syed_Muhammad_Hanif","Syed Muhammad Hanif","Candidate",1,FALSE
"Syed_Muzafar_Ali_Shah_Jan","Syed Muzafar Ali Shah Jan","Candidate",1,FALSE
"Tariq_Hameed_Khattak","Tariq Hameed Khattak","Candidate",1,FALSE
"Umar_Hayat","Umar Hayat","Candidate",2,TRUE
"Umar_Khan","Umar Khan","Candidate",1,FALSE
"Waris_Khan","Waris Khan","Candidate",1,FALSE
"Zain_Umar_Arbab","Zain Umar Arbab","Candidate",1,FALSE
"Zarbali_Syed","Zarbali Syed","Candidate",1,FALSE
"Shoaib_Amjad_Pervaiz","Shoaib Amjad Pervaiz","Candidate",1,FALSE
"Makhdoom_Muhammad_Ehsan","Makhdoom Muhammad Ehsan","Candidate",1,FALSE
"Bashir_Khan","Bashir Khan","Candidate",1,FALSE
