"Candidate_ID","Candidate_Name","Num_Parties"
"Muhammad_Ijaz-Ul-Haq","Muhammad Ijaz-Ul-Haq",2
"Muhammad_Ijaz_Ul_Haq","Muhammad Ijaz Ul Haq",2
"Muhammad_Imran","Muhammad Imran",2
"Muhammad_Irfan","Muhammad Irfan",2
"Muhammad_Jamal_Ud_Din","Muhammad Jamal Ud Din",2
"Muhammad_Jameel","Muhammad Jameel",2
"Muhammad_Javed","Muhammad Javed",2
"Muhammad_Kashif","Muhammad Kashif",2
"Muhammad_Khan","Muhammad Khan",2
"Muhammad_Latif","Muhammad Latif",2
"Muhammad_Malik","Muhammad Malik",2
"Muhammad_Mehboob_Sultan","Muhammad Mehboob Sultan",2
"Muhammad_Mushtaq","Muhammad Mushtaq",2
"Muhammad_Naeem","Muhammad Naeem",2
"Muhammad_Nasrullah","Muhammad Nasrullah",2
"Muhammad_Nawaz","Muhammad Nawaz",2
"Muhammad_Nawaz_Khan","Muhammad Nawaz Khan",2
"Muhammad_Owais_Siddiqui","Muhammad Owais Siddiqui",2
"Muhammad_Riaz_Farooq_Sahi","Muhammad Riaz Farooq Sahi",2
"Muhammad_Rizwan","Muhammad Rizwan",2
"Muhammad_Saddiq","Muhammad Saddiq",2
"Muhammad_Saeed","Muhammad Saeed",2
"Muhammad_Sher_Khan","Muhammad Sher Khan",2
"Muhammad_Tahir_Khan","Muhammad Tahir Khan",2
"Muhammad_Tahir_Makhdoom","Muhammad Tahir Makhdoom",2
"Muhammad_Wali_Shah","Muhammad Wali Shah",2
"Muhammad_Yaqoob","Muhammad Yaqoob",2
"Muhammad_Yaseen","Muhammad Yaseen",2
"Muhammad_Yousuf","Muhammad Yousuf",2
"Muhammad_Zahid","Muhammad Zahid",2
"Muhammad_Zia_Ul_Haq","Muhammad Zia Ul Haq",2
"Muhammad_Zubair","Muhammad Zubair",2
"Munir_Ahmad","Munir Ahmad",2
"Mustafa_Nawaz_Khokhar","Mustafa Nawaz Khokhar",2
"Nabeel_Ahmed_Gabol","Nabeel Ahmed Gabol",2
"Naqeeb_Ullah","Naqeeb Ullah",2
"Naseem_Muhammad_Khan","Naseem Muhammad Khan",2
"Naseer_Ahmed_Kakar","Naseer Ahmed Kakar",2
"Nasir_Abbas","Nasir Abbas",2
"Nasir_Khan","Nasir Khan",2
"Nasir_Mahmood","Nasir Mahmood",2
"Nasir_Mehmood","Nasir Mehmood",2
"Naveed_Anjum_Khan","Naveed Anjum Khan",2
"Nazir_Ahmed","Nazir Ahmed",2
"Nisar_Ahmad","Nisar Ahmad",2
"Noor_Alam_Khan","Noor Alam Khan",2
"Noor_Muhammad","Noor Muhammad",2
"Omar_Ayub_Khan","Omar Ayub Khan",2
"Pir_Dilawar_Shah","Pir Dilawar Shah",2
"Pir_Sajjad_Saeed_Jan_Sirhandi","Pir Sajjad Saeed Jan Sirhandi",2
"Qaisar_Jamal","Qaisar Jamal",2
"Rahat_Hussain","Rahat Hussain",2
"Raja_Imran_Ashraf","Raja Imran Ashraf",2
