"Candidate_ID","Eccentricity"
"Muhammad_Qasim",4
"Muhammad_Latif",4
"Ghulam_Rasool",4
"Syed_Faisal_Imam",4
"Abdul_Jabbar_Khan",4
"Saeed_Ur_Rehman",4
"Syed_Asghar_Ali_Shah",4
"Abdul_Hameed",4
"Abdul_Hameed_Khan",4
"Abdul_Mohsin",4
"Akhtar_Ali_Khan",4
"Akhtar_Muhammad",4
"Bilal_Qudrat_Butt",4
"Ghulam_Nabi",4
"Liaqat_Ali",4
"Liaqat_Baloch",4
"Mahmood_Ul_Hassan",4
"Muhammad_Aslam",4
"Muhammad_Javed",4
"Muhammad_Rafiq",4
"Muhammad_Riaz_Farooq_Sahi",4
"Muhammad_Tahir",4
"Muhammad_Yousuf",4
"Nazir_Ahmed",4
"Nisar_Ahmad",4
"Sahibzada_Tariq_Ullah",4
"Sardar_Khan",4
"Shah_Faisal_Afridi",4
"Sher_Akbar_Khan",4
"Syed_Javed_Hussain_Shah",4
"Abd_Ur_Rasheed",4
"Abdul_Bari",4
"Abdul_Fatah_Pathan",4
"Abdul_Hameed_Alias_Arfan",4
"Abdul_Jamil_Khan",4
"Abdul_Kabeer",4
"Abdul_Razzaq_Khalil",4
"Abdul_Rehman",4
"Abdul_Waheed_Akhtar",4
"Afifa_Athar",4
"Afrasiab_Khattak",4
"Ahktar_Hussain",4
"Ahmad_Jamil_Rashid",4
"Aijaz_Ali",4
"Akbar_Ali_Khan",4
"Akhtar_Hussain_Qureshi",4
"Altaf_Ahmad_Khan",4
"Ameer_Ul_Azeem",4
"Amir_Mahmood_Cheema",4
"Amir_Siddiqui",4
"Amjad_Ali_Khan",4
"Anam_Hamza",4
"Anwar_Ul_Haq",4
"Asad_Ullah",4
"Asim_Muneer",4
"Aslam_Khan",4
"Atif_Imran",4
"Atta_Ullah_Hameed",4
"Atta_Ur_Rehman",4
"Azhar_Ul_Haq",4
"Babar_Rashid",4
"Bakht_Jehan_Khan",4
"Ch__Abid_Hussain",4
"Chaudhary_Abdul_Sattar",4
"Chaudhary_Asadullah",4
"Chaudhry_Irfan_Aslam",4
"Chaudry_Muhammad_Shoukat",4
"Chaudry_Zulfiqar_Advocate",4
"Dedar_Hussain_Behrani",4
"Dr_Atta_Ur_Rehman",4
"Engr_Muhammad_Sikandar_Asad",4
"Faiz_Miran",4
"Fazal_Ahmed",4
"Fazal_Subhan",4
"Fazal_Ur_Rehman_Niazi",4
"Ghanzanfar_Ali_Bajwa",4
"Ghazan_Iqbal",4
"Hafiz_Aqib_Ismail",4
"Hafiz_Muhammad_Arshad",4
"Hafiz_Nasrullah_Aziz",4
"Haji_Sami_Ullah",4
"Hameed_Ud_Din_Awan",4
"Hammad_Hasan_Lashari",4
"Hashmat_Khan",4
"Hizabullah_Jakhro",4
"Iftikhar_Ahmad_Shaikh",4
"Iftikhar_Ahmed",4
"Iftikhar_Nadeem",4
"Imdad_Khan",4
"Imran_Shafiq_Advocate",4
"Imtiaz_Ahmed",4
"Inayat_Ur_Rehman",4
"Iqbal_Khan",4
"Irfan_Ahmed",4
"Irfan_Ullah",4
"Jahangir_Ahmad",4
"Jamal_d_Din",4
"Kamran_Aziz_Ghauri",4
"Kamran_Malik",4
"Kashif_Azam",4
"Khalid_Khan_Yousafzai",4
"Khalid_Mahmood_Mirza",4
"Mahmood_Urf_Mahmood_Illahi",4
"Mairaj_Ul_Huda_Siddiqui",4
"Malik_Abdul_Aziz",4
"Malik_Ghulam_Mohiuddin",4
"Malik_Mateeullah",4
"Malik_Muhammad_Naeem_Haider",4
"Mamtaz_Hussain",4
"Manzoor_Hussain",4
"Maulana_Abdul_Akbar_Chitrali",4
"Maulana_Mehboob_Janan",4
"Maulana_Muhammad_Ismail",4
"Mian_Mohammad_Aslam",4
"Mian_Muslim_Pervaiz",4
"Mir_Muhammad_Baldi",4
"Miraj_Ul_Huda_Siddiqui",4
"Mohtarma_Zaiba_Basharat",4
"Mudassar_Ahmad_Shah",4
"Mufti_Muhammad_Imtiaz_Marwat",4
"Muhammad_Ahmad_Raza",4
"Muhammad_Anwar_Khan",4
"Muhammad_Arif_Gujjar",4
"Muhammad_Arslan_Khan_Khakwani",4
"Muhammad_Ashique",4
"Muhammad_Asim_Khan",4
"Muhammad_Azeem_Tahir_Randhawa",4
"Muhammad_Babar_Khan",4
"Muhammad_Bilal",4
"Muhammad_Ejaz_Malik",4
"Muhammad_Faisal_Bin_Zair",4
"Muhammad_Hanif_Khan",4
"Muhammad_Ibrahim",4
"Muhammad_Ibrahim_Khan",4
"Muhammad_Ijaz",4
"Muhammad_Irfan_Ullah",4
"Muhammad_Ishaq_Khan",4
"Muhammad_Islam",4
"Muhammad_Jabir",4
"Muhammad_Javed_Kasori",4
"Muhammad_Kashif_Chaudhry",4
"Muhammad_Kashif_Gujjar",4
"Muhammad_Musa",4
"Muhammad_Mushtaq",4
"Muhammad_Naeem",4
"Muhammad_Nasir_Nadeem_Gujjar",4
"Muhammad_Rafique",4
"Muhammad_Rehmat_Ullah_Watto",4
"Muhammad_Riaz",4
"Muhammad_Saeed",4
"Muhammad_Safdar_Iqbal",4
"Muhammad_Sami_Ul_Qazi",4
"Muhammad_Shabir_Khanzada",4
"Muhammad_Shahid_Abbas",4
"Muhammad_Sufyan_Abbasi",4
"Muhammad_Tahir_Malik",4
"Muhammad_Tariq_Javed",4
"Muhammad_Tauseef",4
"Muhammad_Umar_Farooq",4
"Muhammad_Usama_Razi_Khan",4
"Muhammad_Waris",4
"Muhammad_Yousaf_Khan",4
"Muhammad_Zubair",4
"Muhmmad_Mudabbar_Siddique",4
"Mumtaz_Hussain",4
"Munam_Zafar_Khan",4
"Munir_Ahmed_Anjum",4
"Mussawair_Shah",4
"Naeem_Ullah",4
"Naeem_Ur_Rehman_Khan",4
"Nageena",4
"Naheem_Ur_Rehman_Khan",4
"Nasir_Mehmood",4
"Naveed_Ali_Baig",4
"Naveed_Iqbal",4
"Niaz_Muhammad",4
"Noor_Ali",4
"Qamar_Zaman_Cheema",4
"Qari_Saeed_Ahmad",4
"Qasim_Mehmood",4
"Raja_Sajid_Sharif",4
"Rana_Abdul_Waheed",4
"Rana_Muhammad_Afzal",4
"Rana_Muhammad_Sikandar_Azam_Khan",4
"Rasheed_Ahmad",4
"Rashid_Farooq",4
"Rustam_Ali_Saqi",4
"Safia_Khanum",4
"Sahibzada_Haroon_u_Rasheed",4
"Saif_Ud_Din",4
"Saif_Ur_Rehman",4
"Sakeena",4
"Saleh_Muhammad",4
"Salman_Ahmed",4
"Samina_Saeed",4
"Sardar_Abdul_Razaq",4
"Sardar_Karam_Khan",4
"Shafiq_Ahmad_Rouf",4
"Shakeela",4
"Shamas_Ur_Rehman",4
"Sharaf_Ud_Din",4
"Sheikh_Muhammad_Afzaal_Shaheen",4
"Shiekh_Usman_Farooq",4
"Shiraz_Khan_Jadoon",4
"Shoukat_Ali_Bhatti",4
"Siraj_Ul_Haq",4
"Sufi_Khalique_Ahmad_Butt",4
"Sultan_Ahmed_Lashari",4
"Syed_Abdul_Rasheed",4
"Syed_Ahmad",4
"Syed_Arif_Shirazi",4
"Syed_Ghaffar",4
"Syed_Ihsan_Ullah_Waqas",4
"Syed_Tariq_Hussain_Shah_Sherazi",4
"Syed_Umer_Farooq",4
"Syed_Ziaullah_Shah_Bukhari",4
"Tahir_Majeed",4
"Tahir_Mehmood_Butt",4
"Talib_Jan",4
"Tariq_Mateen",4
"Tasheen",4
"Tasnim_Khurshid",4
"Tofiq_Ul_Din_Siddiqui",4
"Tohfa_Dastgir_Ahmad",4
"Umar_Farooq",4
"Umar_Farooq_Kanju",4
"Umar_Gul",4
"Usman_Ali",4
"Zabeeh_Ullah_Balgan",4
"Zafar_Ali",4
"Zafar_Hussain_Khan",4
"Zaheer_Babar",4
"Zaheer_Ud_Din_Jatoi",4
"Zubair_Ahmed_Gondal",4
"Zubair_Khadim",4
"Zulfiqar_Ali_Shah",4
"Zulifqar_Ali_Ahmad",4
"Abdul_Aziz",4
"Abdul_Khaliq",4
"Abdul_Latif",4
"Abdul_Waheed_Khan",4
"Atta_Ullah_Khan",4
"Khalid_Mehmood",4
"Muhammad_Alam",4
"Muhammad_Anwar",4
"Muhammad_Ayoub",4
"Muhammad_Hassan",4
"Muhammad_Jamal_Ud_Din",4
"Muhammad_Wali_Shah",4
"Abd_Ul_Ghafoor",4
"Abdul_Haleem",4
"Abdul_Majeed_Anwar",4
"Abdul_Majeed_Hazarvi",4
"Abdul_Qayoom",4
"Abdul_Quyyum",4
"Abdul_Salam",4
"Abdul_Samad_Son_of_Muhammad_Yousuf",4
"Abdul_Wajid_Hussain",4
"Abdullah_Ahmed",4
"Abdur_Rahim_Khan",4
"Abu_Bakar_Brohi",4
"Adnan_Bin_Abdul_Aziz",4
"Agha_Syed_Muhammad_Ayyoob",4
"Ahmad_Mujeeb_Aslam",4
"Ahmed_Naseer",4
"Akhunzada_Irfan_Ullah_Shah",4
"Akram_Khan_Durrani",4
"Allama_Abdul_Raoof_Rabbani",4
"Amanullah_Khan",4
"Amin_Ullah",4
"Aneela",4
"Arbab_Kamal_Ahmad",4
"Asad_Mahmood",4
"Asad_Mehmood",4
"Asghar_Ali_Nasir",4
"Asjad_Mahmood",4
"Asmat_Ullah",4
"Attaul_Haq",4
"Azam_Khan",4
"Ch_Waseem_Ahmed",4
"Engineer_Tahir_Iqbal_Orakzai",4
"Fakharul_Hassan",4
"Farooq_Hussain_Shah",4
"Fazal_Ali",4
"Fazal_Ur_Rehman",4
"Fazlullah",4
"Ghulam_Mohammad_Sadiq",4
"Ghulam_Qadir",4
"Gohar_Ali",4
"Gohar_Mohammad_Khan_Bangesh",4
"Gohar_Muhammad_Khan_Bangash",4
"Hafiz_Abdul_Qadeer",4
"Hafiz_Abdul_Razzak",4
"Hafiz_Abdul_Wadood",4
"Hafiz_Hamdullah",4
"Hafiz_Mahmood_Ul_Hassan",4
"Hafiz_Muhammad_Afzaal",4
"Hafiz_Muhammad_Azam",4
"Hafiz_Muhammad_Jameel_Ahmed",4
"Hafiz_Muhammad_Saeed",4
"Hafiz_Muhammad_Zubair",4
"Hafiz_Shahzad_Bashir",4
"Haider_Ali_Khan",4
"Hajan_Khan_Leghari",4
"Haji_Abdul_Rasheed_Khan_Bhatti",4
"Haji_Ghulam_Ali",4
"Haji_Ghulam_Qadir_Noohani",4
"Haji_Mangey_Khan_Rahija",4
