"Candidate_ID","Closeness"
"Arif_Aziz_Shaikh",0.509080188679245
"Asad_Alam_Niazi",0.509080188679245
"Asad_Ullah_Khan",0.509080188679245
"Asghar_Ali_Jara",0.509080188679245
"Asif_Ali_Zardari",0.509080188679245
"Asif_Bashir",0.509080188679245
"Asma_Shahnawaz_Cheema",0.509080188679245
"Athar_Hassan_Khan_Gorchani",0.509080188679245
"Aurangzeb_Shaafi_Burki",0.509080188679245
"Aurangzeb_Shafi_Barki",0.509080188679245
"Ayatullah_Durrani",0.509080188679245
"Ayaz_Imran",0.509080188679245
"Ayub_Shah",0.509080188679245
"Azeem_Daultana",0.509080188679245
"Baber_Sultan_Jadoon",0.509080188679245
"Babu_Nafees_Ahmad_Ansari",0.509080188679245
"Bari_Khan",0.509080188679245
"Barrister_Mian_Amir_Hassan",0.509080188679245
"Basharat_Ali_Wald_Faqir_Muhammad",0.509080188679245
"Begum_Shahnaz_Javed",0.509080188679245
"Bilawal_Bhutto_Zardari",0.509080188679245
"Bushra_Aitzaz_Ahsan",0.509080188679245
"Capt__Rtd__Rai_Ghulam_Mujtaba_Kharral",0.509080188679245
"Captain_Retired_Asad_Gill",0.509080188679245
"Ch__Ahmad_Mukhtar",0.509080188679245
"Ch__Ahmed_Mukhtar",0.509080188679245
"Ch__Hammad_Muhammad_Khan",0.509080188679245
"Ch__Iftikhar_Nazir",0.509080188679245
"Ch__Manzoor_Ahmad",0.509080188679245
"Ch__Muhammad_Abdullah_Virk",0.509080188679245
"Ch__Zeshan_Ilyas",0.509080188679245
"Ch_Ejaz_Ahmed_Cheema",0.509080188679245
"Ch_Iftikhar_Ahmed",0.509080188679245
"Ch_Muhammad_Saddique",0.509080188679245
"Ch_Muhammad_Saeed_Gujar",0.509080188679245
"Ch_mushtaq_Ahmad_",0.509080188679245
"Ch_tawakkal-Ullah_Virk",0.509080188679245
"Ch_zahid_Iqbal",0.509080188679245
"Ch_Zulifqar_Bhindar",0.509080188679245
"Chaudhary_Ijaz_Ahmad_Cheema",0.509080188679245
"Chaudhary_Shoukat_Ali",0.509080188679245
"Chaudhary_Sohail_Zafar",0.509080188679245
"Chaudhary_Tasneem_Nasir",0.509080188679245
"Chaudhry_Abdul_Ghafoor_Khan",0.509080188679245
"Chaudhry_Asad_Parvez",0.509080188679245
"Chaudhry_Manzoor_Ahmad",0.509080188679245
"Chaudry_Atif_Rafique",0.509080188679245
"Chohadry_Manzoor_Ahmad",0.509080188679245
"Choudhary_Altaf_Hussain",0.509080188679245
"Choudhary_Sharaqat_Rasool_Ghumman",0.509080188679245
"Choudhary_Zafar_Iqbal_Warriach",0.509080188679245
"Choudhri_Umar_Hayat_Sandhu",0.509080188679245
"Col_Rtd_Rao_Abid_Ali_Khan",0.509080188679245
"Comrade_Zahoor_Ahmed_Khosa",0.509080188679245
"Dewan_Syed_Muhammad_Haider_Abbas_Bukhari",0.509080188679245
"Doctor_Mian_Akhtar_Ali_Laleka",0.509080188679245
"Doctor_Muhammad_Rashid_Malik",0.509080188679245
"Doctor_Sultan_Zeb_Khan",0.509080188679245
"Dr__Abdul_Wahid_Soomro",0.509080188679245
"Dr__Arbab_Alamgir_Khan",0.509080188679245
"Dr__Ayatullah_Durrani",0.509080188679245
"Dr__Azra_Fazal_Pecheho",0.509080188679245
"Dr__Fardos_Ashiq_Awan_",0.509080188679245
"Dr__Mirza_Ikhtiar_Baig",0.509080188679245
"Dr__Muhammad_Haider_Baloch",0.509080188679245
"Dr__Muhammad_Riaz",0.509080188679245
"Dr__Muhammad_Shakir_Alam",0.509080188679245
"Dr__Syed_Israr_Hussain",0.509080188679245
"Dr__Zafar_Chaudhary",0.509080188679245
"Dr_afsar_Ul_Mulk_Khan",0.509080188679245
"Dr_Azra_Fazal_Pechuho",0.509080188679245
"Dr_fahmida_Mirza",0.509080188679245
"Dr_Farooq_Afzal",0.509080188679245
"Dr_Fehmida_Mirza",0.509080188679245
"Dr_Firdous_Ashiq_Awan",0.509080188679245
"Dr_Mazhar_Iqbal_Choudhary",0.509080188679245
"Dr_Saeed_Ahmad_Buzdar",0.509080188679245
"Dr_zaheer-Ul-Hassan_Rizvi",0.509080188679245
"Dr_zulfiqar_Ali_Bhatti",0.509080188679245
"Ejaz_Ahmed_Samma",0.509080188679245
"Ejaz_Ali_Khan_Shahani",0.509080188679245
