"Candidate_ID","Degree"
"Arif_Aziz_Shaikh",709
"Asad_Alam_Niazi",709
"Asad_Ullah_Khan",709
"Asghar_Ali_Jara",709
"Asif_Ali_Zardari",709
"Asif_Bashir",709
"Asma_Shahnawaz_Cheema",709
"Athar_Hassan_Khan_Gorchani",709
"Aurangzeb_Shaafi_Burki",709
"Aurangzeb_Shafi_Barki",709
"Ayatullah_Durrani",709
"Ayaz_Imran",709
"Ayub_Shah",709
"Azeem_Daultana",709
"Baber_Sultan_Jadoon",709
"Babu_Nafees_Ahmad_Ansari",709
"Bari_Khan",709
"Barrister_Mian_Amir_Hassan",709
"Basharat_Ali_Wald_Faqir_Muhammad",709
"Begum_Shahnaz_Javed",709
"Bilawal_Bhutto_Zardari",709
"Bushra_Aitzaz_Ahsan",709
"Capt__Rtd__Rai_Ghulam_Mujtaba_Kharral",709
"Captain_Retired_Asad_Gill",709
"Ch__Ahmad_Mukhtar",709
"Ch__Ahmed_Mukhtar",709
"Ch__Hammad_Muhammad_Khan",709
"Ch__Iftikhar_Nazir",709
"Ch__Manzoor_Ahmad",709
"Ch__Muhammad_Abdullah_Virk",709
"Ch__Zeshan_Ilyas",709
"Ch_Ejaz_Ahmed_Cheema",709
"Ch_Iftikhar_Ahmed",709
"Ch_Muhammad_Saddique",709
"Ch_Muhammad_Saeed_Gujar",709
"Ch_mushtaq_Ahmad_",709
"Ch_tawakkal-Ullah_Virk",709
"Ch_zahid_Iqbal",709
"Ch_Zulifqar_Bhindar",709
"Chaudhary_Ijaz_Ahmad_Cheema",709
"Chaudhary_Shoukat_Ali",709
"Chaudhary_Sohail_Zafar",709
"Chaudhary_Tasneem_Nasir",709
"Chaudhry_Abdul_Ghafoor_Khan",709
"Chaudhry_Asad_Parvez",709
"Chaudhry_Manzoor_Ahmad",709
"Chaudry_Atif_Rafique",709
"Chohadry_Manzoor_Ahmad",709
"Choudhary_Altaf_Hussain",709
"Choudhary_Sharaqat_Rasool_Ghumman",709
"Choudhary_Zafar_Iqbal_Warriach",709
"Choudhri_Umar_Hayat_Sandhu",709
"Col_Rtd_Rao_Abid_Ali_Khan",709
"Comrade_Zahoor_Ahmed_Khosa",709
"Dewan_Syed_Muhammad_Haider_Abbas_Bukhari",709
"Doctor_Mian_Akhtar_Ali_Laleka",709
"Doctor_Muhammad_Rashid_Malik",709
"Doctor_Sultan_Zeb_Khan",709
"Dr__Abdul_Wahid_Soomro",709
"Dr__Arbab_Alamgir_Khan",709
"Dr__Ayatullah_Durrani",709
"Dr__Azra_Fazal_Pecheho",709
"Dr__Fardos_Ashiq_Awan_",709
"Dr__Mirza_Ikhtiar_Baig",709
"Dr__Muhammad_Haider_Baloch",709
"Dr__Muhammad_Riaz",709
"Dr__Muhammad_Shakir_Alam",709
"Dr__Syed_Israr_Hussain",709
"Dr__Zafar_Chaudhary",709
"Dr_afsar_Ul_Mulk_Khan",709
"Dr_Azra_Fazal_Pechuho",709
"Dr_fahmida_Mirza",709
"Dr_Farooq_Afzal",709
"Dr_Fehmida_Mirza",709
"Dr_Firdous_Ashiq_Awan",709
"Dr_Mazhar_Iqbal_Choudhary",709
"Dr_Saeed_Ahmad_Buzdar",709
"Dr_zaheer-Ul-Hassan_Rizvi",709
"Dr_zulfiqar_Ali_Bhatti",709
"Ejaz_Ahmed_Samma",709
"Ejaz_Ali_Khan_Shahani",709
"Engineer_Hamid_Iqbal_Khan",709
"Engineer_Muhammad_Tariq_Khattak",709
"Engr_dawar_Khan_Kundi",709
"Faisal_Karim_Kundi",709
"Faisal_Sakhi_Butt",709
"Faizullah_Chaichee",709
"Fakhar_Umar_Hayat",709
"Faqir_Sher_Muhammad_Bilalani",709
"Faraz_Hashmi",709
"Farhana",709
"Farooq_Akbar_Kahloon",709
"Faryal_Talpur",709
"Farzana_Sherin",709
"Fateh_Ullah_Khan",709
"Fazal_e_Rabi",709
"Fazal_Rahman",709
"Fazal_Wadood",709
"Fida_Hussain_Dero",709
"Fozia_Behram",709
"Ghanva_Bhutto",709
"Ghanwa_Bhutto",709
"Ghayas-Ud-Din_Khan",709
"Ghinva_Bhutto",709
"Ghinwa_Bhutto",709
"Ghulam_Akbar_Lasi",709
"Ghulam_Ali_Nizamani",709
"Ghulam_Farid_Kathia",709
"Ghulam_Muhammad_Junejo_Alias_Gul_Junejo",709
"Ghulam_Murtaza_Satti",709
"Ghulam_Rabbani_Khar",709
"Ghulam_Sarwar_Khan_Khichi",709
"Gulzar_Ahmed_Chaudhary",709
"Hafeez-Ullah_Ishaq",709
"Hafiz_Hussain_Ahmed_Madni",709
"Haider_Ali_Khan_Kharal",709
"Hajan_Allah_Rakhi",709
"Haji_Misar_Khan",709
"Haji_Muhammad_Ishaq",709
"Haji_Nafees_Ahmed_Usmani_Advocate",709
"Haji_Rasool_Bux_Chandio",709
"Hamid_Ali_Bhatti",709
"Hamid_Saeed_Kazmi",709
"Haris_Meeran",709
"Hasnain_Ijaz_Khan_Shahani",709
"Hayat_Ullah_Khan_Tareen",709
"Hazrat_Wali",709
"Hina_Rabbani_Khar",709
"Ibne_Saeed_Ch_",709
"Iftikhar_Ahmed_Cheema_Advocate",709
"Iftikhar_Shahid",709
"Ihsan_Ur_Rahman_Mazari",709
"Imam_Ali_Samejo",709
"Imdad_Ullah_Abbasi",709
"Imran",709
"Imtiaz_Safdar_Waraich",709
"Imtiaz_Safdar_Warraich",709
"Iqbal_Ahmad_Khan",709
"Irfan_Ali_Leghari",709
"Irfan_Qureshi",709
"Israr_Ahmed_Khan",709
"Jahangir_Badar",709
"Jam_Abdul_Karim_Bijar",709
