"Candidate_ID","Betweenness"
"Abdul_Aziz",7136.78364501612
"Muhammad_Jamal_Ud_Din",7136.78364501612
"Muhammad_Wali_Shah",7136.78364501612
"Abdul_Mohsin",7010.6693484555
"Akhtar_Ali_Khan",7010.6693484555
"Akhtar_Muhammad",7010.6693484555
"Bilal_Qudrat_Butt",7010.6693484555
"Liaqat_Baloch",7010.6693484555
"Mahmood_Ul_Hassan",7010.6693484555
"Muhammad_Riaz_Farooq_Sahi",7010.6693484555
"Muhammad_Yousuf",7010.6693484555
"Sahibzada_Tariq_Ullah",7010.6693484555
"Shah_Faisal_Afridi",7010.6693484555
"Syed_Javed_Hussain_Shah",7010.6693484555
"Abdul_Malik",6263.65493458938
"Maqsood_Ahmed",6037.48467128882
"Muhammad_Irfan",5813.08121067733
"Abdul_Khaliq_Rehmani",5737.19066561437
"Imdad_Ali",5737.19066561437
"Muhammad_Ashraf",5694.78133314695
"Shah_Nawaz",5344.62859784835
"Sana_Ullah",5159.34096727468
"Naqeeb_Ullah",5139.65761954138
"Ashiq_Ali",5038.9110465814
"Abdul_Jabbar",4994.20880203134
"Nasir_Mahmood",4475.33260028602
"Sheikh_Rasheed_Ahmed",4316.00000000001
"Taj_Muhammad",4316
"Fanoos_Gujar",4316
"Aziz_Ullah",4316
"Nasir_Mehmood",4225.94911905768
"Bibi_Yasmeen_Shah",4207.45236687235
"Ghous_Bux_Khan_Mahar",4207.45236687235
"Pir_Sajjad_Saeed_Jan_Sirhandi",4207.45236687235
"Syed_Qurban_Ali_Shah",4207.45236687235
"Qaisar_Jamal",3615.69399243873
"Malik_Matloob_Ali_Awan",1703.65510946015
"Muhammad_Khan",1299.03633390547
"Habib_Ur_Rehman",799.290718970535
"Muhammad_Tahir_Khan",461.055918268554
"Khalil_Ur_Rehman",335.603911858412
"Mirza_Zulfiqar_Ahmed",0
"Nawab_Amber_Shahzada",0
"Nawab_Doctor_Amber_Shahzada",0
"Nawab_Dr__Amber_Shehzada",0
"Noor_Hussain",0
"Rashida_Naeem",0
"Waqar_Ahmed",0
"Ehsaamuddin",0
"Arslan_Khan_Manj",0
"Mirza_Tariq_Mehmood",0
"Muhammad_Ali_Khan_Yousafzai",0
"Muhammad_Amin_Watoo",0
"Muhammad_Kashif",0
"Syed_Muhammad_Hussain",0
"Sadeed_Anver_Malik_Kashir",0
"Zain_Ul_Abideen",0
"Rana_Muhammad_Ali",0
"Akhtar_Nawaz_Faisal_Daryana",0
"Amoon_Pasha",0
"Arshad_Ali",0
"Asghar_Abbas",0
"Ashar_Jahangir",0
"Ch__Muhamamd_Ilyas",0
"Ch_Ghulam_Dastageer",0
"Chaudhary_Tanveer_Ahmed_Advocate",0
"Choudhry_Gulzar_Hussain_Gohar_Advocate",0
"Dilshad_Rind",0
"Farid_Ullah_Bazai",0
"Ghulam_Qadir_Bajwa",0
"Haji_Rashid_Ahmed_Khan_Rana",0
"Iftikhar_Ud_Din",0
"Israr_Ahmad_Chishti_Advocate",0
"Jawaid_Ahmed_Khan",0
"Khalid_Ibrar",0
"Makhdeem_Syed_Zahid_Hussain",0
"Makhodzada_Syed_Hasan_Raza_Gillini",0
"Malik_Azhar_Mehmood",0
"Malik_Fakhar_Iqbal_Wattoo",0
"Malik_Hamid_Mehmood",0
"Malik_Muhammad_Iqbal_Jora",0
"Malik_Muhammad_Siddique_Advocate",0
"Malik_Nisar_Ahmad_Thind",0
"Malik_Shamriz_Awan",0
"Malik_Zia_Ul_Haque_Tiwana",0
"Mashood_Ahsan_Gill",0
"Mian_Nadeem_Ahmed_Saleemi",0
"Mirza_Bilal_Baig",0
"Mohammad_Sharif_Rind",0
"Muhammad_Asim_Ishtiaq",0
"Muhammad_Ghufran_Rajput",0
"Muhammad_Khaliq_Siddique",0
"Muhammad_Naseer",0
"Muhammad_Nisar_Butt",0
"Muhammad_Sharif_Noori",0
"Muhammad_Zeb",0
"Mushtaq_Ahmed_Khan_Mughal",0
"Nadir_Khan",0
